ID;Solicitante;Departamento;TipoSolicitacao;Descricao;Prioridade;Status;DataSolicitacao;DataConclusao
82838485-8283-8485-8283-848583848384;Douglas Melo;Operações;Serviço;Ajuste no sistema de rastreamento.;Alta;Em andamento;2025-10-10T15:10:00Z;
83848586-8384-8586-8384-858684858485;Elisângela Rocha;Compras;Material;Pedido de sacolas de transporte.;Baixa;Aberta;2025-10-11T09:40:00Z;
84858687-8485-8687-8485-868785868586;Fabricio Lima;Financeiro;Serviço;Correção de relatórios de pagamentos.;Alta;Em andamento;2025-10-11T11:55:00Z;
85868788-8586-8788-8586-878886888588;Gabriela Furtado;RH;Melhoria de Processo;Otimização de fluxo de contratação.;Baixa;Aberta;2025-10-11T13:25:00Z;

86878889-8687-8889-8687-888987898789;Hugo Leme;TI;Material;Reposição de conectores RJ45.;Baixa;Aberta;2025-10-10T12:20:00Z;
87888990-8788-8990-8788-899088908790;Ingrid Lopes;Marketing;Serviço;Ajuste no dashboard de campanhas.;Média;Em andamento;2025-10-11T11:10:00Z;
88899091-8889-9091-8889-909189918891;Jeferson Aquino;Operações;Equipamento;Solicitação de luvas antiestáticas.;Alta;Pendente;2025-10-11T14:15:00Z;
89909192-8990-9192-8990-919290928992;Kátia Fernandes;Compras;Acesso a Sistema;Acesso ao sistema de suprimentos.;Alta;Pendente;2025-10-11T10:50:00Z;
90919293-9091-9293-9091-929391939193;Leandro Santos;Financeiro;Material;Pedido de organizadores de mesa.;Baixa;Aberta;2025-10-10T15:45:00Z;
